main_page_link,isAssured,car_name,model,brand,location,seller_type,selling_location,transmission_type,km_driven,variant,selling_price
https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-Gl-cars-Agra_d1923c1f-4506-4be2-a59b-e52c4c71bae4.htm,False,Hyundai Santro Xing GL,Hyundai,GL,Agra,Individual,,Manual,"80,000",Petrol,150000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vvt-Zxi-cars-Agra_22c60557-c44c-4b09-aa63-8ce9eb5fb6c9.htm,False,Maruti Swift VVT ZXI,Maruti,VVT ZXI,Agra,Individual,,Manual,"45,000",Petrol,470000.0
https://www.cardekho.com/used-car-details/used-Tata-Indica-Quadrajet-Vx-cars-Agra_afe11c58-b638-4a93-ab39-7bab53b67bd7.htm,False,Tata Indica Quadrajet VX,Tata,Quadrajet VX,Agra,Individual,,Manual,"1,20,000",Diesel,100000.0
https://www.cardekho.com/used-car-details/used-Fiat-Punto-Evo-1.3-Dynamic-cars-Agra_17e622fe-e927-4771-afbb-51249be445b4.htm,False,Fiat Punto EVO 1.3 Dynamic,Fiat,1.3 Dynamic,Agra,Individual,,Manual,"1,10,000",Diesel,210000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Verna-1.6-Sx-cars-Agra_d7ee06d6-b085-435c-91c9-b33b9248daed.htm,False,Hyundai Verna 1.6 SX,Hyundai,1.6 SX,Agra,Individual,,Manual,"50,000",Diesel,380000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Ldi-Bsiv-cars-Agra_7deb6073-703c-431e-9e6e-60ffa23cd8c5.htm,False,Maruti Swift Ldi BSIV,Maruti,Ldi BSIV,Agra,Individual,,Manual,"60,000",Diesel,240000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I20-1.4-Crdi-Magna-cars-Agra_d2a7605c-10cf-4274-ae10-2943f3d87214.htm,False,Hyundai i20 1.4 CRDi Magna,Hyundai,1.4 CRDi Magna,Agra,Individual,,Manual,"50,000",Diesel,235000.0
https://www.cardekho.com/used-car-details/used-Maruti-Omni-E-8-Str-Std-cars-Agra_ea4ac0fe-0c11-490e-8a94-85d4bf0ccc07.htm,False,Maruti Omni E 8 Str STD,Maruti,E 8 Str STD,Agra,Individual,,Manual,"10,000",Petrol,90000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Ldi-cars-Agra_b071fd56-f455-452e-a778-8059c5fb624e.htm,False,Maruti Swift Dzire LDI,Maruti,LDI,Agra,Individual,,Manual,"1,10,000",Diesel,300000.0
https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Lx-Duo-Bsiii-cars-Agra_3c4ff44a-a155-45e4-9f11-afa5646addc6.htm,False,Maruti Wagon R LX DUO BSIII,Maruti,LX DUO BSIII,Agra,Individual,,Manual,"70,000",LPG,90000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Bolero-Zlx-cars-Agra_6f91902a-2f8b-46b1-ad48-54a3489ee1a5.htm,False,Mahindra Bolero ZLX,Mahindra,ZLX,Agra,Individual,,Manual,"60,000",Diesel,400000.0
https://www.cardekho.com/used-car-details/used-Mahindra-Tuv-300-T6-Plus-cars-Agra_222c0fbc-184b-4ba6-b6f5-913dca7d9c6f.htm,False,Mahindra TUV 300 T6 Plus,Mahindra,T6 Plus,Agra,Individual,,Manual,"90,000",Diesel,500000.0
https://www.cardekho.com/used-car-details/used-Tata-Nexon-1.2-Revotron-Xz-Plus-cars-Agra_4f29c049-3bee-4de4-a52f-f440a52dec83.htm,False,Tata Nexon 1.2 Revotron XZ Plus,Tata,1.2 Revotron XZ Plus,Agra,Individual,,Manual,"9,000",Petrol,750000.0
https://www.cardekho.com/used-car-details/used-Hyundai-I10-Magna-cars-Agra_0be6bd56-356c-4076-87b7-1d13395d4e57.htm,False,Hyundai i10 Magna,Hyundai,Magna,Agra,Individual,,Manual,"50,000",Petrol,200000.0
https://www.cardekho.com/used-car-details/used-Hyundai-Accent-Gle-1-cars-Agra_bdb3d0ff-68d1-4401-a480-c64bf1e5a9bf.htm,False,Hyundai Accent GLE 1,Hyundai,GLE 1,Agra,Individual,,Manual,"1,00,000",Petrol,90000.0
https://www.cardekho.com/used-car-details/used-Honda-City-V-Mt-Avn-cars-Agra_fb60267b-b4de-418f-951e-02eaaba413d9.htm,False,Honda City V MT AVN,Honda,V MT AVN,Agra,Individual,,Manual,"1,20,000",Petrol,360000.0
https://www.cardekho.com/used-car-details/used-Tata-Indigo-Lx-cars-Agra_bb1e49a6-5ed8-41fe-80df-bc5076cbabc1.htm,False,Tata Indigo LX,Tata,LX,Agra,Individual,,Manual,"1,28,500",Diesel,280000.0
https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-Vxi-cars-Agra_28d661fd-593c-4c7e-a77c-583fc3beef2a.htm,False,Maruti Swift Dzire VXI,Maruti,VXI,Agra,Individual,,Manual,"45,600",Petrol,700000.0
https://www.cardekho.com/used-car-details/used-Honda-Cr-v-2.4l-4wd-At-cars-Agra_aafe0ed6-1923-414c-9fdc-40336e7d73dd.htm,False,Honda CR-V 2.4L 4WD AT,Honda,2.4L 4WD AT,Agra,Individual,,Automatic,"1,20,000",Petrol,1100000.0
https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Rs-Zxi-Plus-cars-Agra_fb25f95b-8ec8-4a68-9a64-b623946f8b1f.htm,False,Maruti Ciaz RS ZXi Plus,Maruti,RS ZXi Plus,Agra,Individual,,Manual,"70,000",Petrol,485000.0
